Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
192,Silverwood Lake,San Bernardino,2004-03-30,90,0.19,R,0, ,763,R,4.5, ,69.5, ,32, ,55.8, ,72, ,11, ,30, ,24.5, ,6.2, ,149, ,47.6, 
192,Silverwood Lake,San Bernardino,2004-03-31,91,0.18, ,0.05, ,581, ,4.6, ,64.3, ,29.3, ,46.7, ,75, ,16, ,43, ,25.2, ,4.1, ,99.3, ,47.7, 
192,Silverwood Lake,San Bernardino,2004-04-01,92,0.04, ,0.2, ,204, ,5.7, ,52.6, ,30, ,37.4, ,80, ,42, ,75, ,30.3, ,4.8, ,115.4, ,46.9,Y
192,Silverwood Lake,San Bernardino,2004-04-02,93,0.07, ,0.14, ,302, ,5.9, ,46.4, ,30.6, ,38.9, ,81, ,62, ,74, ,31.1, ,5, ,119.4, ,45.1,Y
192,Silverwood Lake,San Bernardino,2004-04-03,94,0.12, ,0.02, ,449, ,7, ,55, ,34.7, ,44.6, ,80, ,50, ,70, ,35.5, ,3.8, ,90.2, ,46.1,Y
192,Silverwood Lake,San Bernardino,2004-04-04,95,0.14, ,0, ,514, ,6.9, ,58.6, ,35.3, ,46.7, ,79, ,41, ,64, ,35.1, ,4.5, ,108.8, ,47.9,Y
192,Silverwood Lake,San Bernardino,2004-04-05,96,0.15, ,0, ,535, ,6.8, ,60.9, ,32.2, ,45.5, ,81, ,39, ,65, ,34.5, ,4.4, ,106.7, ,48.3,Y
192,Silverwood Lake,San Bernardino,2004-04-06,97,0.17, ,0, ,612, ,5.1, ,55.7, ,29.4, ,44, ,77, ,25, ,52, ,27.6, ,5.7, ,137.3, ,48.7, 
192,Silverwood Lake,San Bernardino,2004-04-07,98,0.18, ,0, ,616, ,4.5, ,64.4, ,27.1,Y,45, ,80, ,18, ,44, ,24.7, ,4, ,96.4, ,48.1,Y
192,Silverwood Lake,San Bernardino,2004-04-08,99,0.18, ,0, ,570, ,5.6, ,66.9, ,30.6, ,48.4, ,79, ,22, ,49, ,30, ,3.9, ,94.2, ,48.6, 
192,Silverwood Lake,San Bernardino,2004-04-09,100,0.18, ,0, ,589, ,6, ,68.7, ,31.6, ,48.9, ,80, ,21, ,51, ,31.6, ,4.2, ,100.6, ,49.2, 
192,Silverwood Lake,San Bernardino,2004-04-10,101,0.19, ,0.01, ,601, ,4.4, ,67.9, ,31.1, ,49.3, ,78, ,13, ,37, ,24, ,4.2, ,99.8, ,49.4, 
192,Silverwood Lake,San Bernardino,2004-04-11,102,0.2, ,0, ,647, ,3,Y,63.6, ,30.3, ,46, ,67, ,10, ,28,Y,15,Y,5.3, ,126, ,49, 
192,Silverwood Lake,San Bernardino,2004-04-12,103,0.19, ,0, ,591, ,4.2, ,64.6, ,28,Y,49.1, ,66, ,14, ,35, ,23, ,4.6, ,110.2, ,48.6, 
192,Silverwood Lake,San Bernardino,2004-04-13,104,0.21, ,0, ,643, ,3.6, ,59.7, ,30.7, ,47.5, ,61, ,17, ,32, ,19.4, ,7.1, ,169.5, ,49, 
192,Silverwood Lake,San Bernardino,2004-04-14,105,0.19, ,0, ,634, ,4.5, ,57, ,37.8, ,49.1, ,66, ,24, ,38, ,24.6, ,6, ,142.8, ,48.9, 
192,Silverwood Lake,San Bernardino,2004-04-15,106,0.19, ,0, ,641, ,5.6, ,56.7, ,41.5, ,48.7, ,67, ,30, ,48, ,30, ,8, ,193, ,49.6, 
192,Silverwood Lake,San Bernardino,2004-04-16,107,0.16, ,0, ,562, ,6.1, ,51.9, ,36.8, ,44.9, ,76, ,41, ,60, ,31.8, ,8.5, ,203, ,49.8, 
192,Silverwood Lake,San Bernardino,2004-04-17,108,0.04, ,0.51, ,201, ,5.1, ,41.4,Y,30.7, ,34.6, ,81, ,59, ,76, ,27.8, ,7.6, ,181.3, ,48.6, 
192,Silverwood Lake,San Bernardino,2004-04-18,109,0.14, ,0.07, ,599, ,5.5, ,51.5, ,31.9, ,38.8, ,81, ,54, ,68, ,29.3, ,5, ,120.7, ,46.9,Y
192,Silverwood Lake,San Bernardino,2004-04-19,110,0.16, ,0, ,802,R,7.3, ,51.9, ,30.4, ,43.4, ,98, ,40, ,77, ,36.6, ,5.2, ,124.6, ,48.7, 
192,Silverwood Lake,San Bernardino,2004-04-20,111,0.18, ,0, ,634, ,6.8, ,65, ,27.7,Y,45.2, ,100, ,28, ,66, ,34.6, ,3.7, ,88.6, ,48.7, 
192,Silverwood Lake,San Bernardino,2004-04-21,112,0.2, ,0, ,660, ,6.8, ,65.9, ,31.5, ,49.6, ,89, ,31, ,56, ,34.5, ,5.7, ,137, ,49.9, 
192,Silverwood Lake,San Bernardino,2004-04-22,113,0.2, ,0, ,654, ,4.7, ,57.8, ,29.8, ,44, ,93, ,18, ,48, ,25.5, ,7.4, ,176.7, ,49.7, 
192,Silverwood Lake,San Bernardino,2004-04-23,114,0.22, ,0, ,674, ,4.2, ,64.1, ,31.8, ,49, ,78, ,18, ,36, ,23.1, ,6.1, ,147.2, ,49.1, 
192,Silverwood Lake,San Bernardino,2004-04-24,115,0.21, ,0, ,657, ,5.3, ,72, ,28.9, ,49.9, ,90, ,17, ,43, ,28.3, ,2.9, ,70.5, ,49.6, 
192,Silverwood Lake,San Bernardino,2004-04-25,116,0.22, ,0, ,649, ,6, ,74.8, ,31, ,53.2, ,93, ,16, ,43, ,31.4, ,3.5, ,82.9, ,50.7, 
192,Silverwood Lake,San Bernardino,2004-04-26,117,0.23, ,0, ,655, ,5.7, ,77.8, ,33.8, ,56.2, ,87, ,13, ,37, ,30.1, ,3.6, ,85.6, ,51.8, 
192,Silverwood Lake,San Bernardino,2004-04-27,118,0.23, ,0, ,656, ,5.4, ,79.1, ,34.6, ,57.8, ,83, ,12, ,33, ,29, ,3.4, ,80.4, ,52.7, 
192,Silverwood Lake,San Bernardino,2004-04-28,119,0.22, ,0, ,661, ,7.7, ,66.7, ,37.4, ,53, ,96, ,24, ,56, ,37.8, ,6.8, ,162.4, ,53.3, 
192,Silverwood Lake,San Bernardino,2004-04-29,120,0.18,R,0, ,865,R,7.9,H,59, ,32, ,47.9, ,99,H,27,H,70, ,38.5, ,5.5,H,132.6,H,53.2,H
192,Silverwood Lake,San Bernardino,2004-04-30,121,0.22, ,0, ,687, ,4.8, ,66.2, ,30.2, ,47.8, ,99, ,19, ,43, ,26.2, ,5.3, ,126, ,52, 
192,Silverwood Lake,San Bernardino,2004-05-01,122,0.22, ,0, ,680, ,5.7, ,75.5, ,31.6,R,53.7, ,87, ,15, ,40, ,30.3, ,3.3, ,79.6, ,51.9,Y
192,Silverwood Lake,San Bernardino,2004-05-02,123,0.23, ,0, ,677, ,6.4, ,79.7, ,34.3,Y,57.2, ,90, ,15, ,40, ,33, ,3.3, ,80.1, ,53.1,Y
192,Silverwood Lake,San Bernardino,2004-05-03,124,0.24, ,0, ,678, ,6.2, ,81.3, ,37.5,Y,60.1, ,87, ,14, ,35, ,32.4, ,3.4, ,80.9, ,54.4,Y
192,Silverwood Lake,San Bernardino,2004-05-04,125,0.25, ,0, ,661, ,7, ,76.2, ,39.8, ,60.4, ,85, ,19, ,39, ,35.4, ,5.2, ,124.7, ,55.2, 
192,Silverwood Lake,San Bernardino,2004-05-05,126,0.24, ,0, ,682, ,5.4,Y,68.7, ,40.7, ,57.4, ,63, ,21, ,33,Y,28.8,Y,6, ,143.5, ,55.5, 
192,Silverwood Lake,San Bernardino,2004-05-06,127,0.23, ,0, ,694, ,4.7,Y,69.7, ,40.7, ,56.5, ,67, ,16, ,30,Y,25.5,Y,6.1, ,147.1, ,55.3, 
192,Silverwood Lake,San Bernardino,2004-05-07,128,0.22, ,0, ,639, ,6.4, ,71.4, ,40.3, ,56.6, ,74, ,22, ,41, ,33.3, ,4.4, ,105.3, ,55.5, 
192,Silverwood Lake,San Bernardino,2004-05-08,129,0.23, ,0, ,699, ,6.4, ,68.9, ,33.5,Y,52.5, ,90, ,23, ,48, ,33.2, ,4.4, ,105.3, ,55.5, 
192,Silverwood Lake,San Bernardino,2004-05-09,130,0.23,R,0.01, ,707, ,6.2, ,73.9, ,30.4,R,55.9, ,78, ,13, ,41, ,32.4, ,4.6, ,110.7, ,55.1, 
192,Silverwood Lake,San Bernardino,2004-05-10,131,0.21, ,0.01, ,688, ,8, ,59.3, ,36.2,Y,50.4, ,99, ,37, ,64, ,38.7, ,7.5, ,180.6, ,55.2, 
192,Silverwood Lake,San Bernardino,2004-05-11,132,0.19, ,0, ,697, ,7.8, ,62.5, ,28.3,R,46.7,H,99,H,23,H,72, ,38.2, ,5.2, ,126, ,54.6,Y
192,Silverwood Lake,San Bernardino,2004-05-12,133,0.2, ,0, ,699, ,6.4, ,65.1, ,35.2,Y,48, ,96, ,21, ,56, ,33.3, ,4.8, ,114.9, ,54.4,Y
192,Silverwood Lake,San Bernardino,2004-05-13,134,0.22, ,0.01, ,685, ,6.7, ,70.8, ,30.5,R,52.2, ,98, ,23, ,50, ,34.2, ,3.5, ,84.3, ,54.3,Y
192,Silverwood Lake,San Bernardino,2004-05-14,135,0.24, ,0, ,694, ,5.9, ,73.2, ,33.8,Y,56, ,90, ,22, ,39, ,31.2, ,4.4, ,105.4, ,55.3, 
192,Silverwood Lake,San Bernardino,2004-05-15,136,0.22, ,0, ,642, ,6.8, ,68.7, ,35.1,Y,54.9, ,84, ,27, ,46, ,34.8, ,4.9, ,117.4, ,55.5, 
192,Silverwood Lake,San Bernardino,2004-05-16,137,0.21, ,0, ,651, ,8.3, ,63.9, ,36.6,Y,53.5, ,90, ,38, ,59, ,39.7, ,5.8, ,139.7, ,55.4, 
192,Silverwood Lake,San Bernardino,2004-05-17,138,0.2, ,0, ,654, ,9.6, ,62.6, ,46, ,54.3, ,99, ,48, ,67, ,43.4, ,7.3, ,175.8, ,56.1, 
192,Silverwood Lake,San Bernardino,2004-05-18,139,0.19, ,0, ,679, ,9, ,59.1, ,41.3, ,51.2, ,93, ,32, ,70, ,41.9, ,7, ,168.3, ,56.5, 
192,Silverwood Lake,San Bernardino,2004-05-19,140,0.2, ,0, ,702, ,8.7, ,58.3, ,33.9,Y,49, ,96, ,50, ,73, ,40.9, ,5.9, ,140.6, ,56.2, 
192,Silverwood Lake,San Bernardino,2004-05-20,141,0.17, ,0, ,671, ,8.9, ,55,Y,36.7,Y,46.4, ,95, ,69, ,83, ,41.5, ,6.5, ,155.2, ,56.1, 
192,Silverwood Lake,San Bernardino,2004-05-21,142,0.14, ,0, ,561, ,9.2, ,54.8,Y,35.3,Y,45.2, ,98, ,72, ,89, ,42.2, ,5.9, ,140.9, ,55.7, 
192,Silverwood Lake,San Bernardino,2004-05-22,143,0.19, ,0, ,700, ,9, ,61.4, ,37.4,Y,48.8, ,97, ,46, ,76, ,41.7, ,4.8, ,114.7, ,55.9, 
192,Silverwood Lake,San Bernardino,2004-05-23,144,0.15, ,0, ,581, ,9.5, ,54.9,Y,36.2,Y,46.8, ,99, ,70, ,87, ,43.3, ,6.4, ,153.1, ,55.8, 
192,Silverwood Lake,San Bernardino,2004-05-24,145,0.18, ,0, ,698, ,9.2, ,56.5, ,36.5,Y,47.3, ,98, ,64, ,83, ,42.5, ,7, ,168.5, ,56, 
192,Silverwood Lake,San Bernardino,2004-05-25,146,0.19, ,0, ,714, ,7.6, ,59.3, ,34,Y,45.4, ,97, ,42, ,73, ,37.4, ,7, ,167.8, ,55.9, 
192,Silverwood Lake,San Bernardino,2004-05-26,147,0.2, ,0, ,692, ,8.5, ,65.8, ,30.4,R,47.9, ,98, ,43, ,74, ,40.2, ,4, ,97.1, ,55.5, 
192,Silverwood Lake,San Bernardino,2004-05-27,148,0.23, ,0, ,698, ,8.2, ,76.2, ,35.5,Y,54.4, ,92, ,20, ,57, ,39.3, ,4.9, ,117.9, ,55.9, 
192,Silverwood Lake,San Bernardino,2004-05-28,149,0.2, ,0, ,677, ,9.2, ,66.6, ,41.4, ,51.8, ,97, ,36, ,70, ,42.2, ,5.4, ,129.9, ,56.5, 
192,Silverwood Lake,San Bernardino,2004-05-29,150,0.22, ,0, ,705, ,8.5, ,70.7, ,39.2, ,54.5, ,99, ,29, ,59, ,40.5, ,4.3, ,103.1, ,57, 
192,Silverwood Lake,San Bernardino,2004-05-30,151,0.25, ,0, ,708, ,6.8, ,75.9, ,36.1,Y,59.7, ,95, ,20, ,39, ,34.7, ,4.4, ,106, ,57.1, 
192,Silverwood Lake,San Bernardino,2004-05-31,152,0.26, ,0, ,712, ,6.7, ,79.6, ,37.9, ,61.4, ,78, ,14, ,36, ,34.2, ,4.9, ,116.9, ,57.8, 
192,Silverwood Lake,San Bernardino,2004-06-01,153,0.24, ,0, ,711, ,8.4, ,76.6, ,38.9,Y,59.6, ,84, ,25, ,48, ,40.1, ,4.3, ,104.3, ,58.1,Y
192,Silverwood Lake,San Bernardino,2004-06-02,154,0.25, ,0, ,704, ,9.3, ,79.4, ,39.2,Y,61.7, ,91, ,21, ,49, ,42.6, ,4.2, ,101.3, ,58.5,Y
192,Silverwood Lake,San Bernardino,2004-06-03,155,0.26, ,0, ,716, ,8.6, ,79, ,40.4,Y,61.4, ,89, ,24, ,46, ,40.7, ,4.5, ,108.6, ,59,Y
192,Silverwood Lake,San Bernardino,2004-06-04,156,0.25, ,0, ,700, ,9.1, ,78.5, ,39.8,Y,61.4, ,89, ,23, ,49, ,42.2, ,4.3, ,102.4, ,59.1,Y
192,Silverwood Lake,San Bernardino,2004-06-05,157,0.25, ,0, ,712, ,9.4, ,80.8, ,39.8,Y,61.8, ,88, ,18, ,50, ,42.9, ,3.9, ,93.1, ,59.4,Y
192,Silverwood Lake,San Bernardino,2004-06-06,158,0.24, ,0, ,707, ,9.4, ,79.9, ,40,Y,60.3, ,86, ,21, ,52, ,42.9, ,4, ,96.8, ,59.7,Y
192,Silverwood Lake,San Bernardino,2004-06-07,159,0.22, ,0, ,706, ,9.8, ,70.8, ,40.2,Y,56.2, ,97, ,35, ,64, ,44.1, ,4.4, ,106.3, ,59.6,Y
192,Silverwood Lake,San Bernardino,2004-06-08,160,0.17, ,0, ,645, ,10.4, ,56.3,Y,42.1, ,49.2, ,98, ,73, ,87, ,45.5, ,7.2, ,171.6, ,59.4,Y
192,Silverwood Lake,San Bernardino,2004-06-09,161,0.13,R,0, ,527, ,8.4, ,53.7,R,35.7,Y,44.6, ,97, ,64, ,84, ,40.1, ,6, ,144.7, ,58.9,Y
192,Silverwood Lake,San Bernardino,2004-06-10,162,0.21, ,0, ,702, ,8.2, ,67.4, ,31.6,R,50.5,H,94,H,34,H,66, ,39.5, ,4.1, ,97.6, ,57.8,Y
192,Silverwood Lake,San Bernardino,2004-06-11,163,0.23, ,0, ,716, ,8.6, ,67.2,Y,35.1, ,54.1, ,98, ,37, ,60, ,40.5, ,5.2, ,124.3, ,57.7, 
192,Silverwood Lake,San Bernardino,2004-06-12,164,0.22, ,0, ,699, ,9.3, ,70.7, ,36.2,Y,55.2, ,92, ,31, ,63, ,42.7, ,4.4, ,105.5, ,58,Y
192,Silverwood Lake,San Bernardino,2004-06-13,165,0.24, ,0, ,701, ,9.6, ,76.3, ,40.7,Y,59.7, ,96, ,24, ,55, ,43.4, ,4.1, ,99.4, ,58.5,Y
192,Silverwood Lake,San Bernardino,2004-06-14,166,0.24, ,0, ,697, ,10.2, ,76.9, ,42.4, ,61.2, ,87, ,27, ,55, ,45, ,4, ,96.9, ,59.2,Y
192,Silverwood Lake,San Bernardino,2004-06-15,167,0.24, ,0, ,655, ,10.6, ,78.9, ,45.8, ,64.4, ,88, ,28, ,51, ,46, ,4, ,97, ,60,Y
192,Silverwood Lake,San Bernardino,2004-06-16,168,0.24, ,0, ,679, ,10.4, ,78.3, ,47.3, ,64.4, ,90, ,29, ,51, ,45.7, ,6, ,144.4, ,60.8, 
192,Silverwood Lake,San Bernardino,2004-06-17,169,0.26, ,0, ,716, ,8.9, ,70.8, ,44.2, ,62.8, ,80, ,26, ,45, ,41.4, ,7.5, ,179.6, ,61, 
192,Silverwood Lake,San Bernardino,2004-06-18,170,0.24, ,0, ,710, ,8.2, ,72.5, ,41.3,Y,60, ,79, ,26, ,46, ,39.3, ,5, ,120.5, ,60.6, 
192,Silverwood Lake,San Bernardino,2004-06-19,171,0.25, ,0, ,707, ,6.8, ,75, ,40.8,Y,59, ,87, ,20, ,40, ,34.6, ,4.6, ,110.9, ,60.1,Y
192,Silverwood Lake,San Bernardino,2004-06-20,172,0.24, ,0, ,718, ,8, ,77.2, ,36.7,Y,57.7, ,79, ,17, ,49, ,38.6, ,3.8, ,91.3, ,59.5,Y
192,Silverwood Lake,San Bernardino,2004-06-21,173,0.25, ,0, ,701, ,7.6, ,78.4, ,39.7,Y,60.2, ,86, ,20, ,42, ,37.3, ,4, ,97.1, ,59.5,Y
192,Silverwood Lake,San Bernardino,2004-06-22,174,0.26, ,0, ,698, ,8.6, ,77.7, ,42.5, ,61.4, ,80, ,19, ,46, ,40.6, ,4.9, ,116.6, ,59.6,Y
192,Silverwood Lake,San Bernardino,2004-06-23,175,0.26, ,0, ,709, ,7.7, ,74.7, ,41.4, ,61, ,83, ,23, ,42, ,37.9, ,5.1, ,122.7, ,59.6,Y
192,Silverwood Lake,San Bernardino,2004-06-24,176,0.25, ,0, ,708, ,8, ,77.1, ,41.4, ,62.2, ,88, ,24, ,42, ,38.7, ,4.5, ,108.7, ,59.7,Y
192,Silverwood Lake,San Bernardino,2004-06-25,177,0.25, ,0, ,703, ,7.6, ,77.2, ,39.2,Y,60.3, ,82, ,18, ,42, ,37.3, ,4.7, ,113, ,59.6,Y
192,Silverwood Lake,San Bernardino,2004-06-26,178,0.25, ,0, ,716, ,7.9, ,77.6, ,38.7,Y,59.8, ,82, ,17, ,45, ,38.4, ,4.4, ,105.9, ,59.4,Y
192,Silverwood Lake,San Bernardino,2004-06-27,179,0.24, ,0, ,710, ,8.9, ,75, ,36.1,Y,59.6, ,85, ,18, ,51, ,41.5, ,5.5, ,133.1, ,59.1,Y
192,Silverwood Lake,San Bernardino,2004-06-28,180,0.23, ,0, ,695, ,10.4, ,74.2, ,43.2, ,60.3, ,76, ,29, ,58, ,45.6, ,6.4, ,154.3, ,60,Y
192,Silverwood Lake,San Bernardino,2004-06-29,181,0.23, ,0, ,716, ,8.5, ,68.2, ,48.7, ,58.7, ,78, ,16, ,50, ,40.3, ,7, ,166.9, ,60.2,Y
192,Silverwood Lake,San Bernardino,2004-06-30,182,0.24, ,0, ,692, ,7.2, ,67.6, ,47.3, ,57.9, ,71, ,21, ,44, ,36.1, ,7.9, ,190.2, ,60.3,Y
192,Silverwood Lake,San Bernardino,2004-07-01,183,0.23, ,0, ,672, ,8.5, ,,S,43.3,Y,58.8, ,74, ,22, ,50, ,40.2, ,6.8, ,164, ,,S
192,Silverwood Lake,San Bernardino,2004-07-02,184,0.29,R,0, ,704, ,7.9, ,,S,39.6,R,58.4,H,94,H,15,H,47, ,38.5, ,4.8, ,114.4, ,,S
192,Silverwood Lake,San Bernardino,2004-07-03,185,0.27,R,0, ,682, ,8.5, ,77.1,Y,39.5,R,58.9,H,83,H,26,H,50, ,40.2, ,3.8, ,91.1, ,,S
192,Silverwood Lake,San Bernardino,2004-07-04,186,0.26,R,0, ,695, ,9.5, ,78,Y,43,Y,62.1,H,90,H,24,H,50, ,43.2, ,4.2, ,100.5, ,,S
192,Silverwood Lake,San Bernardino,2004-07-05,187,0.27, ,0, ,690, ,8.7, ,78.7,Y,43.6,Y,63.8,H,84,H,24,H,43, ,41, ,4.8, ,114.3, ,,S
192,Silverwood Lake,San Bernardino,2004-07-06,188,0.26, ,0, ,661, ,8.2, ,79.1,Y,42.5,Y,63.9,H,80,H,18,H,40, ,39.3, ,4.9, ,116.7, ,,S
192,Silverwood Lake,San Bernardino,2004-07-07,189,0.28,R,0, ,558, ,8.2, ,73.6,R,51.3, ,62,H,65,H,18,H,43, ,39.4, ,5.6, ,134.9, ,,S
192,Silverwood Lake,San Bernardino,2004-07-08,190,0.25,R,0, ,529, ,8.7, ,72.7,R,51.1, ,62.5,H,51,H,28,H,45, ,41, ,6.5, ,157.1, ,,S
192,Silverwood Lake,San Bernardino,2004-07-09,191,0.27,R,0, ,688, ,7.7, ,74.9,R,46.9,Y,62.6,H,59,H,19,H,40, ,37.9, ,5.9, ,141.3, ,,S
192,Silverwood Lake,San Bernardino,2004-07-10,192,0.28, ,0, ,687, ,7.5, ,80.5,Y,44.2,Y,64.8,H,54,H,20,H,36, ,37.1, ,4.8, ,115, ,,S
192,Silverwood Lake,San Bernardino,2004-07-11,193,0.27, ,0, ,688, ,9.1, ,83.4, ,44.9,Y,66.7,H,80,H,21,H,41, ,42.1, ,4.3, ,103.1, ,,S
192,Silverwood Lake,San Bernardino,2004-07-12,194,0.27, ,0, ,675, ,10.2, ,83.1, ,49, ,69.2, ,85, ,27, ,42, ,45.1, ,5.2, ,125.4, ,,S
192,Silverwood Lake,San Bernardino,2004-07-13,195,0.28, ,0, ,670, ,7.6, ,78.8,Y,51.3, ,69.2, ,68, ,21, ,31, ,37.5, ,6.2, ,147.8, ,,S
192,Silverwood Lake,San Bernardino,2004-07-14,196,0.27, ,0, ,620, ,8.7, ,79.9,Y,59.8, ,70.7, ,43, ,26, ,34, ,40.8, ,7.5,R,179.5,R,61.8,H
192,Silverwood Lake,San Bernardino,2004-07-15,197,0.22,R,0, ,526, ,8.5, ,75,R,55.7, ,67.2, ,70, ,21, ,37, ,40.2, ,6.2,R,148.8,R,61.7, 
192,Silverwood Lake,San Bernardino,2004-07-16,198,0.24, ,0, ,623, ,9.1, ,82.6,Y,51.5, ,67, ,73, ,24, ,40, ,42, ,4.4, ,104.6, ,61.8, 
192,Silverwood Lake,San Bernardino,2004-07-17,199,0.25, ,0, ,631, ,8, ,77.6,R,51.2, ,66.5, ,67, ,20, ,36, ,38.7, ,5.2,Y,124.6,Y,61.8, 
192,Silverwood Lake,San Bernardino,2004-07-18,200,0.26, ,0, ,661, ,11.1, ,78.8,Y,50.4, ,68.6, ,89, ,30, ,47, ,47.4, ,5.9,Y,142.6,Y,61.8, 
192,Silverwood Lake,San Bernardino,2004-07-19,201,0.25, ,0, ,655, ,11.9, ,79.1,Y,54.2, ,68.4, ,75, ,35, ,50, ,49.2, ,6.1,R,145.9,R,62.4, 
192,Silverwood Lake,San Bernardino,2004-07-20,202,0.26, ,0, ,672, ,9.9, ,80,Y,48.7, ,68.3, ,86, ,25, ,42, ,44.3, ,5.1,Y,121.8,Y,62.5, 
192,Silverwood Lake,San Bernardino,2004-07-21,203,0.27, ,0, ,677, ,8.8, ,79.5,Y,47.9, ,67, ,71, ,21, ,39, ,41.2, ,5.7,Y,137.1,Y,62.3, 
192,Silverwood Lake,San Bernardino,2004-07-22,204,0.26, ,0, ,694, ,8.6, ,80,Y,42.7, ,64.4, ,80, ,16, ,42, ,40.6, ,4.7, ,111.7, ,61.6, 
192,Silverwood Lake,San Bernardino,2004-07-23,205,0.25, ,0, ,693, ,7.4, ,84, ,41.2, ,65.4, ,77, ,11, ,35, ,36.8, ,4.1, ,98.8, ,61.1,Y
192,Silverwood Lake,San Bernardino,2004-07-24,206,0.26, ,0, ,681, ,7, ,82.6,Y,48.1, ,66.7, ,68, ,15, ,31, ,35.4, ,4.4, ,105.8, ,61.2,Y
192,Silverwood Lake,San Bernardino,2004-07-25,207,0.26, ,0, ,664, ,7.7, ,84.4, ,44.9, ,66.8, ,72, ,16, ,34, ,37.7, ,3.9, ,93, ,61,Y
192,Silverwood Lake,San Bernardino,2004-07-26,208,0.27, ,0, ,661, ,8.7, ,84.4, ,47.6, ,69.2, ,77, ,16, ,36, ,40.9, ,5,Y,121.1,Y,61.2,Y
192,Silverwood Lake,San Bernardino,2004-07-27,209,0.28, ,0, ,695, ,5.5, ,77,R,49, ,67, ,63, ,14, ,24, ,29.4, ,7,R,168.5,R,61.4, 
192,Silverwood Lake,San Bernardino,2004-07-28,210,0.24,R,0, ,663, ,7.8, ,75,R,42.9, ,61.2, ,80, ,21, ,42, ,38.1, ,4.7, ,111.8, ,60.2,Y
192,Silverwood Lake,San Bernardino,2004-07-29,211,0.25, ,0, ,666, ,8, ,81.8,Y,43.2, ,64.1, ,81, ,18, ,39, ,38.7, ,4.7, ,112.4, ,59.9,Y
192,Silverwood Lake,San Bernardino,2004-07-30,212,0.26, ,0, ,670, ,8.1, ,77.6,R,44.3, ,65.6, ,76, ,22, ,37, ,38.9, ,5.3,Y,127.5,Y,60.1,Y
192,Silverwood Lake,San Bernardino,2004-07-31,213,0.25, ,0, ,656, ,8.2, ,78.9,Y,46.5, ,66.4, ,72, ,24, ,37, ,39.5, ,5.4,Y,128.7,Y,60.4,Y
192,Silverwood Lake,San Bernardino,2004-08-01,214,0.25, ,0, ,641, ,9.8, ,79.3,Y,55.6, ,67, ,67, ,24, ,43, ,43.9, ,6.1,R,145.8,R,61.1, 
